,name,review
64,jalla nageshwarrao,overal good performanceread
65,flipkart custom,good redmi nice redmi read
66,dipesh mahankar,mobil well happi read
67,chiranjib paul,overal good read
68,riku haldar,like phoneread
69,prabhat kumar,long time batteri backup maximum day kitter lookingread
70,vikash sharma,nice product rang priceread
71,jaga behera,valu money read
72,hirak misra,great price overal great perform read
73,sanjay kumar,goodread
74,shubham dhiman,nice mobil read
75,flipkart custom,super read
76,sudarshan sikdar,bad phone properli work worst money read
77,flipkart custom,goodread
78,rahul khan,nice mobileread
79,anil khemani,awesom phone go neg reviewsjust go itread
80,kaushik rakshit,nice phoneread
81,flipkart custom,gud product priceread
82,darshan chaudhari,nice mobil good cameraread
83,sunni singhania,money make happi read
84,flipkart custom,phone qualiti niceread
85,mojahidul islam,awesomeread
86,devi kutti,expect go itread
87,habibulla mondal,best mobil flipkartread
88,jeewan rawat,batteri charg slowread
89,flipkart custom,worth everi penni perform batteri backup superb camera also good speaker loud front camera ok ok read
90,nikhil shindimeshram,superbread
91,sy jave ahmad urf saddam,camera look mp mpread
92,pawan singh pawar,nice read
93,flipkart custom,buy alway hang hour full charg batteri worst phone pleas pleas pleas dont buy phone read
94,flipkart custom,wow condit read
95,debashi gayen,nice mobileread
96,,total wast money camera qualiti rear front poor fast charg take hour get charg go read
97,sudheep galipothula,good one super fast deliv read
98,ravi verma,nice read
99,gopal chetri,good mobil price segment n receiv today fastest deliv thank flipkart read
100,sagar kharat,mobil charg time heat problemread
101,ashish khandelw,camara pictur poor screen parform bad west money phone read
102,souvagya roy,good perform read
103,flipkart custom,nice product valu moneydisplay smooth camera opppperform better phone price sengmentthank flipkartread
104,sabita dhali,goodread
105,pritam jana,nice phon read
106,dularchandra kumar pandit,face type issu mobil read
107,rani da,bad camera qualityread
108,balaram gope,goodread
109,flipkart custom,good product lowest priceread
110,zakariya selot,superbread
111,rakesh yadav,fantast read
112,rekha verma,betterread
113,shivasai gangoni,good middl class happy read
114,flipkart custom,trust mi mobil poor perform display mobil averag mobil gb ram hang mani time ram manag poor weak charg mobil take hour batteri drain first minut cemara mobil poor feel like mega pixel front cemara di appoint watch selfi taken mobil feel us fool detail imag bad display mobil like read
115,manoj kumar singh,mani time show messag cover earphon area receiv call n unlock phone slide work put surfac like tabl bed read
116,mohit gangwar,good read
117,tanmoy majumdar,decent phone k budget batteri backup best part otherwis factor satisfactori go get around k read
118,md meraj ansari,nice phoneread
119,mohan krishna reddi,best product price rang read
120,flipkart custom,bad mobil charg issu majorread
121,flipkart custom,good productread
122,michael pal,averag devic valu money acc priceread
123,ajay kumar,phone good camera goodread
124,bikram saha,audio qualiti poor read
125,pintu kumar yadav,goodread
126,rohan gupta,sound qualiti good loudspeak call sound good read
127,mohd mustaqeem,watt charger must mah batteryread
128,md asra hoqu,good phoneread
129,prem saini,slow performancend flipkart return servic badread
130,santanu karmakar,good read
131,aftab kabir,good product happi read
132,suman da,valu money good product game sensor low work fast deliveri tnx flipkart read
133,gocham tatak,thank flipkartread
134,bikash boro,nice picread
135,flipkart custom,nice batteri servic displayth phone also nice look atread
136,vinod chouhan,good product thank flipkart big billion day sale read
137,deepak prasad gupta,good day day useread
138,mangesh awari,cleariti camera hang issu receiv mobil faulti per given configur mobil good price actual also situat flipkart support well expect read
139,maheshbabu p,mobil get heatread
140,prakash gongadashettimath,met minimum expect front camera worst ever use complain regard worth k old redmi lost qualiti read
141,md zaid khan,great budget phon buy dual app featur great budget phon read
142,anoop singh,mind blowingread
143,debasish choudhuri,goodread
144,sushanta akhuli,redmi mobil start hang within day date purchas read
145,rupesh chauhan,design good littl bit big size display touch good camera poor imag cleariti poor batteri backup good game size mb freez lag high volum sound low compar devic overal perform ok normal usag mobil good intens continu usag cannot win race read
146,md tariqu ansari,good productread
147,sharat kumar,goodread
148,shankar meher,awesom love read
149,anshu anand,nice smartphoneread
150,,good qualityread
151,santosh kumar,price afford snapdragon processor promis price love read
152,saravanakumar,mobil redmi good charger hot mobil charg slow charg expect disappoint also charger mention capac think mismatch happen realm phone read
153,jagdish parangi,nice mobailread
154,zeenath bayar,camera badread
155,koustav mallick,adop display comfort watt fast charg support given must need watt charger taken time hoursconnect ok fm okcamera ok usb problem happen day go servic centerread
156,akash kumar,camera pretti imag captur batteri also give better backup power read
157,flipkart custom,phone auto restart preoblem hang also request guy buy phoneread
158,nandkishor pandey,charg slow setisfi bad productread
159,subham srivastav,face problem batteri backup batteri slow charg drain quickli read
160,sushil kumar,nice experienceread
161,pankaj kumar custom,back camera equal megapixelequ megapixelcamera qualiti poorread
162,sonali gupta kharwar,good productread
163,siva kishor,chare slow mobil phone suitabl high configur read
164,jai prakash,excel valu moneyread
165,vaidheeswaran,look rate know got rate overal satisfi even redmi note pro gb perform better charg time take time higher phone hang even less app sec lag read
166,nitin savansukha,display camera pathet buy samsung would better choic read
167,anup sarkar,excel cameraread
168,shubham kadam,best deal flipkart read
169,nilesh nimbalkar,nice redmi note osm batteri backup nice cameraread
170,rahul chaudhari,nice productsread
171,nabin roy,bad qualiti hang problem read
172,flipkart custom,super thank flipcartread
173,ashutosh shukla,camera like megapixel buy plz go brand camera qualiti like megapixel wastag moneyread
174,shivchand hansda,niceread
175,r viswanathan,camera qualiti worst batteri perform good take much time charg mobil hang read
176,debnath ganguli,faster deliveryth smartphon budget balanc price batteri good camera okay price processor snapdragon rocksread
177,md jahid,good phoneread
178,nitesh kumar,valu money nice product thank flipkartread
179,nagaraj kammar,superread
180,santigop hota,bad camera performanceread
181,manuraj p v,best phone price right nowread
182,taufikul islam,product best batteri prosesor read
183,shani kumar,happyread
184,nishant kumar,quick charg avail charger get heat charg slowli written quick charg fake issu charg charger also look ordinari seem brand read
185,purnima sadhukhan,faulti touch pad problem start product return time e day visit servic centr twice fix problem within month period read
186,yogesh jarar,buy product compani given temper glass cover avail market also product ok ok good suggest tri realm mobil phoneread
187,hp buri buri,normalread
188,jeetu kumar,nice camraread
189,rahul ghosh,osm soo goodread
